id,date,polarity,subjectivity,compound
222,2009-01-04,0.11,0.48,0.36
224,2009-01-04,-0.01,0.46,0.62
226,2009-01-04,0.0,0.0,0.0
225,2009-01-04,-0.0,0.28,-0.98
229,2009-01-04,0.07,0.37,0.97
228,2009-01-04,0.07,0.17,0.08
231,2009-01-04,-0.01,0.32,-1.0
230,2009-01-04,0.01,0.35,0.54
232,2009-01-04,0.04,0.48,0.9
227,2009-01-04,0.0,0.0,0.0
233,2009-01-04,0.02,0.23,-0.98
234,2009-01-04,0.15,0.34,0.66
238,2009-01-04,0.06,0.26,0.99
235,2009-01-04,0.5,0.75,-0.57
237,2009-01-04,0.15,0.39,1.0
239,2009-01-04,0.15,0.3,0.98
240,2009-01-04,0.21,0.42,1.0
242,2009-01-04,-0.14,0.36,-0.99
243,2009-01-04,-0.1,0.1,-0.32
241,2009-01-04,0.06,0.29,0.99
244,2009-01-04,-0.03,0.43,0.98
245,2009-01-04,0.16,0.42,0.62
247,2009-01-04,-0.04,0.61,0.88
246,2009-01-04,-0.0,0.46,-0.68
248,2009-01-04,0.04,0.39,0.96
252,2009-01-06,0.03,0.4,-0.97
253,2009-01-06,0.01,0.22,0.98
251,2009-01-04,0.01,0.35,-0.18
255,2009-01-06,0.04,0.43,0.88
256,2009-01-06,0.0,0.4,0.67
257,2009-01-06,0.07,0.38,0.98
258,2009-01-06,0.04,0.3,0.98
259,2009-01-06,0.11,0.46,0.99
260,2009-01-06,0.06,0.36,0.8
262,2009-01-06,-0.08,0.48,-0.97
254,2009-01-06,0.09,0.38,0.83
261,2009-01-06,0.12,0.49,0.96
250,2009-01-04,0.05,0.2,0.98
263,2009-01-06,0.08,0.39,0.97
249,2009-01-04,0.1,0.3,-0.94
267,2009-01-06,0.12,0.29,0.99
266,2009-01-06,0.21,0.62,-0.13
265,2009-01-06,0.08,0.42,0.99
268,2009-01-06,0.08,0.37,0.99
264,2009-01-06,0.08,0.43,0.99
271,2009-01-06,0.06,0.5,0.66
270,2009-01-06,0.05,0.33,0.95
269,2009-01-06,-0.02,0.35,-0.97
272,2009-01-06,-0.0,0.24,0.98
275,2009-01-06,0.07,0.35,0.92
278,2009-01-06,0.11,0.4,0.98
274,2009-01-06,0.04,0.37,0.68
279,2009-01-06,0.06,0.2,0.94
276,2009-01-06,0.1,0.35,0.99
280,2009-01-06,0.07,0.33,0.88
277,2009-01-06,0.16,0.41,0.98
286,2009-01-06,-0.11,0.5,0.96
283,2009-01-06,0.05,0.22,0.96
281,2009-01-06,0.12,0.47,1.0
285,2009-01-06,0.06,0.36,1.0
284,2009-01-06,0.12,0.39,-0.27
273,2009-01-06,0.19,0.48,0.99
287,2009-01-06,-0.12,0.37,-0.97
282,2009-01-06,0.04,0.32,0.97
288,2009-01-06,-0.03,0.35,0.44
289,2009-01-06,0.14,0.4,0.98
291,2009-01-06,0.09,0.33,0.93
294,2009-01-06,0.12,0.29,0.88
293,2009-01-06,0.13,0.48,0.32
295,2009-01-06,0.13,0.4,0.79
290,2009-01-06,0.07,0.55,-0.54
292,2009-01-06,0.13,0.4,0.88
299,2009-01-06,-0.1,0.25,-0.96
302,2009-01-06,-0.06,0.3,-0.72
297,2009-01-06,0.02,0.46,0.91
303,2009-01-06,-0.07,0.5,-0.98
298,2009-01-06,0.09,0.52,0.99
296,2009-01-06,0.0,0.31,0.4
305,2009-01-06,0.05,0.26,-0.97
300,2009-01-06,-0.07,0.3,-0.84
304,2009-01-06,0.07,0.37,-1.0
307,2009-01-06,0.04,0.49,-0.98
306,2009-01-06,0.16,0.35,0.64
309,2009-01-06,0.15,0.35,0.99
310,2009-01-06,0.04,0.44,-0.95
312,2009-01-06,0.12,0.53,0.99
311,2009-01-06,0.08,0.42,1.0
313,2009-01-02,0.02,0.33,-0.74
301,2009-01-06,0.13,0.43,1.0
317,2009-01-02,0.16,0.42,0.98
308,2009-01-06,-0.01,0.39,-0.99
314,2009-01-02,0.07,0.36,0.99
319,2009-01-02,0.06,0.3,-0.83
321,2009-01-02,0.07,0.34,0.89
316,2009-01-02,0.08,0.21,0.83
324,2009-01-02,0.09,0.38,0.84
322,2009-01-02,0.12,0.47,0.98
325,2009-01-02,-0.15,0.44,-0.99
315,2009-01-02,0.11,0.45,-0.64
326,2009-01-02,0.1,0.3,0.97
323,2009-01-02,0.12,0.34,0.84
318,2009-01-02,0.06,0.35,0.98
327,2009-01-02,0.09,0.37,-0.91
320,2009-01-02,-0.1,0.29,-0.74
329,2009-01-02,0.04,0.33,0.99
330,2009-01-02,0.1,0.48,0.92
334,2009-01-02,0.02,0.29,0.98
332,2009-01-02,0.19,0.46,0.94
333,2009-01-02,0.13,0.45,0.99
336,2009-01-02,0.12,0.41,1.0
328,2009-01-02,0.26,0.47,0.99
335,2009-01-02,0.05,0.36,-0.99
337,2009-01-02,0.08,0.43,1.0
338,2009-01-02,0.14,0.5,0.93
341,2009-01-02,0.2,0.42,0.99
342,2009-01-02,0.07,0.32,0.75
345,2009-01-02,0.13,0.36,0.98
339,2009-01-02,-0.01,0.3,-0.97
331,2009-01-02,0.1,0.48,0.92
344,2009-01-02,0.02,0.27,0.96
346,2009-01-02,0.14,0.49,0.94
348,2009-01-02,0.05,0.4,0.93
343,2009-01-02,0.01,0.24,0.87
350,2009-01-02,0.12,0.43,0.99
349,2009-01-02,0.03,0.34,0.98
351,2009-01-02,0.11,0.4,0.94
347,2009-01-02,0.03,0.45,-0.98
352,2009-01-02,-0.03,0.29,-0.05
340,2009-01-02,-0.04,0.52,0.03
355,2009-01-02,0.02,0.34,0.84
356,2009-01-02,0.11,0.46,0.99
354,2009-01-02,0.14,0.36,0.32
353,2009-01-02,0.01,0.27,0.98
357,2009-01-02,0.05,0.33,0.95
360,2009-01-02,-0.11,0.5,-0.57
358,2009-01-02,0.15,0.5,0.96
364,2009-01-02,-0.01,0.32,0.96
359,2009-01-02,0.02,0.29,-0.59
362,2009-01-02,0.03,0.45,0.85
365,2009-01-02,0.04,0.41,-0.99
361,2009-01-02,0.1,0.47,0.99
369,2009-01-02,0.15,0.47,-0.96
366,2009-01-02,0.1,0.31,-0.98
370,2009-01-02,0.13,0.38,0.98
372,2009-01-02,0.11,0.52,-1.0
371,2009-01-02,0.12,0.28,-0.96
374,2009-01-02,-0.12,0.33,0.75
368,2009-01-02,0.03,0.35,-1.0
367,2009-01-02,0.03,0.37,-0.99
