date,net_profit_loss_from_ordinary_activities_after_tax_yrly,profit_loss_from_ordinary_activities_before_tax_yrly,other_income_yrly,basic_eps_yrly,expenditure_yrly,other_expenses_yrly,tax_yrly,diluted_eps_yrly,net_profit_yrly,profit_after_interest_but_before_exceptional_items_yrly,depreciation_and_amortisation_expense_yrly
2008-08-26,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-27,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-28,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-29,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-30,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-31,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-01,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-02,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-03,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-04,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-05,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-06,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-07,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-08,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-09,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-10,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-11,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-12,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-13,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-14,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-15,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-16,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-17,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-18,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-19,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-20,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-21,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-22,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-23,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-24,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-25,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-26,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-27,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-28,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-29,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-09-30,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-10-01,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-02,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-03,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-04,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-05,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-06,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-07,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-08,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-09,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-10,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
