current_tax_qtr,face_value_in_rs_qtr,diluted_eps_qtr,other_expenses_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,basic_diluted_eps_after_extraordinary_items_qtr,profit_from_operations_before_other_income_interest_and_exceptional_items_qtr,deferred_tax_qtr,tax_qtr,profit_after_interest_but_before_exceptional_items_qtr,finance_costs_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,total_income_qtr,basic_eps_qtr,date,interest_qtr,depreciation_and_amortisation_expense_qtr,net_profit_qtr,basic_for_discontinued_continuing_operation_qtr,net_sales_qtr,other_income_qtr,profit_before_interest_and_exceptional_items_qtr,equity_capital_qtr,expenditure_qtr
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-14,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-15,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-16,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-17,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-18,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-19,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-20,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-21,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-22,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-23,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
