date,diluted_eps_qtr,deferred_tax_qtr,employee_benefit_expenses_qtr,expenditure_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,diluted_for_discontinued_continuing_operation_qtr,other_expenses_qtr,net_sales_qtr,basic_for_discontinued_continuing_operation_qtr,total_income_qtr,current_tax_qtr,employee_benefit_expense_qtr,depreciation_and_amortisation_expense_qtr,equity_capital_qtr,profit_before_interest_and_exceptional_items_qtr,profit_after_interest_but_before_exceptional_items_qtr,profit_from_operations_before_other_income_interest_and_exceptional_items_qtr,basic_eps_for_continuing_operation_qtr,other_income_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,face_value_in_rs_qtr,exceptional_item_qtr,basic_diluted_eps_after_extraordinary_items_qtr,basic_eps_qtr,finance_costs_qtr,tax_qtr,diluted_eps_for_continuing_operation_qtr,interest_qtr,net_profit_qtr
2016-06-15,9.07,,-513.67,"-10,252.61","1,549.54",,"-1,786.38","11,893.35",,,,,-370.43,254.05,"1,646.76","1,549.54","1,640.74",,6.02,"1,015.54",2.0,0.0,9.07,9.07,,-534.00,,-97.21,"1,015.54"
2016-06-16,9.07,,-513.67,"-10,252.61","1,549.54",,"-1,786.38","11,893.35",,,,,-370.43,254.05,"1,646.76","1,549.54","1,640.74",,6.02,"1,015.54",2.0,0.0,9.07,9.07,,-534.00,,-97.21,"1,015.54"
2016-06-17,9.07,,-513.67,"-10,252.61","1,549.54",,"-1,786.38","11,893.35",,,,,-370.43,254.05,"1,646.76","1,549.54","1,640.74",,6.02,"1,015.54",2.0,0.0,9.07,9.07,,-534.00,,-97.21,"1,015.54"
2016-06-18,9.07,,-513.67,"-10,252.61","1,549.54",,"-1,786.38","11,893.35",,,,,-370.43,254.05,"1,646.76","1,549.54","1,640.74",,6.02,"1,015.54",2.0,0.0,9.07,9.07,,-534.00,,-97.21,"1,015.54"
2016-06-19,9.07,,-513.67,"-10,252.61","1,549.54",,"-1,786.38","11,893.35",,,,,-370.43,254.05,"1,646.76","1,549.54","1,640.74",,6.02,"1,015.54",2.0,0.0,9.07,9.07,,-534.00,,-97.21,"1,015.54"
2016-06-20,9.07,,-513.67,"-10,252.61","1,549.54",,"-1,786.38","11,893.35",,,,,-370.43,254.05,"1,646.76","1,549.54","1,640.74",,6.02,"1,015.54",2.0,0.0,9.07,9.07,,-534.00,,-97.21,"1,015.54"
2016-06-21,9.07,,-513.67,"-10,252.61","1,549.54",,"-1,786.38","11,893.35",,,,,-370.43,254.05,"1,646.76","1,549.54","1,640.74",,6.02,"1,015.54",2.0,0.0,9.07,9.07,,-534.00,,-97.21,"1,015.54"
2016-06-22,9.07,,-513.67,"-10,252.61","1,549.54",,"-1,786.38","11,893.35",,,,,-370.43,254.05,"1,646.76","1,549.54","1,640.74",,6.02,"1,015.54",2.0,0.0,9.07,9.07,,-534.00,,-97.21,"1,015.54"
2016-06-23,9.07,,-513.67,"-10,252.61","1,549.54",,"-1,786.38","11,893.35",,,,,-370.43,254.05,"1,646.76","1,549.54","1,640.74",,6.02,"1,015.54",2.0,0.0,9.07,9.07,,-534.00,,-97.21,"1,015.54"
2016-06-24,9.07,,-513.67,"-10,252.61","1,549.54",,"-1,786.38","11,893.35",,,,,-370.43,254.05,"1,646.76","1,549.54","1,640.74",,6.02,"1,015.54",2.0,0.0,9.07,9.07,,-534.00,,-97.21,"1,015.54"
