depreciation_and_amortisation_expense_qtr,employee_benefit_expenses_qtr,employee_benefit_expense_qtr,equity_capital_qtr,exceptional_item_qtr,expenditure_qtr,face_value_in_rs_qtr,finance_costs_qtr,interest_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,net_profit_qtr,number_of_public_shareholding_qtr,other_income_qtr,percentage_of_public_shareholding_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,profit_after_interest_but_before_exceptional_items_qtr,profit_before_interest_and_exceptional_items_qtr,profit_from_operations_before_other_income_interest_and_exceptional_items_qtr,revenue_from_operations_qtr,tax_qtr,total_income_qtr,basic_eps_qtr,date_qtr,diluted_eps_qtr
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-07-31,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-01,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-02,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-03,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-04,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-05,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-06,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-07,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-08,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-09,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-10,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-11,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-12,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-13,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-14,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-15,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-16,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-17,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-18,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-19,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-20,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-21,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-22,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-23,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-24,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-25,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-26,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-27,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-28,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-29,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-30,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-08-31,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-01,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-02,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-03,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-04,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-05,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-06,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-07,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-08,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-09,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-10,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-11,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-12,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-13,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-14,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-15,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-16,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-17,14.59
