date,net_profit_loss_from_ordinary_activities_after_tax_yrly,current_tax_yrly,basic_eps_for_continuing_operation_yrly,net_profit_yrly,finance_costs_yrly,employee_benefit_expense_yrly,profit_after_interest_but_before_exceptional_items_yrly,net_sales_yrly,tax_yrly,diluted_for_discontinued_continuing_operation_yrly,diluted_eps_yrly,basic_for_discontinued_continuing_operation_yrly,other_income_yrly,total_income_yrly,expenditure_yrly,depreciation_and_amortisation_expense_yrly,profit_loss_from_ordinary_activities_before_tax_yrly,exceptional_item_yrly,other_expenses_yrly,deferred_tax_yrly,diluted_eps_for_continuing_operation_yrly,basic_eps_yrly
2008-06-14,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-15,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-16,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-17,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-18,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-19,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-20,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-21,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-22,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-23,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-24,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-25,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-26,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-27,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-28,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-29,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-30,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-07-01,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-07-02,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-07-03,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-07-04,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-07-05,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-07-06,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-07-07,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-07-08,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-07-09,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
