other_income,net_profit_loss_from_ordinary_activities_after_tax,tax,profit_loss_from_ordinary_activities_before_tax,date,expenditure,net_profit,profit_after_interest_but_before_exceptional_items,depreciation_and_amortisation_expense,finance_costs,total_income,employee_benefit_expense,exceptional_item,basic_eps,diluted_eps
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-06,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-07,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-08,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-09,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-10,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-11,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-12,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-13,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-14,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-15,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-16,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-17,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-18,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-19,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-20,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-21,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-22,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-23,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-24,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-25,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-26,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-27,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-28,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-29,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-30,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-01,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-02,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-03,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-04,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-05,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-06,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-07,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-08,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-09,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-10,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-11,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-12,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-13,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-14,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-15,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-16,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-17,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-18,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-19,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-20,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-21,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
