date,net_profit_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,other_income_qtr,tax_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,depreciation_and_amortisation_expense_qtr,other_expenses_qtr,basic_eps_qtr,expenditure_qtr,diluted_eps_qtr,profit_after_interest_but_before_exceptional_items_qtr
2008-07-02,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-03,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-04,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-05,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-06,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-07,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-08,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-09,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-10,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-11,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-12,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-13,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-14,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-15,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-16,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-17,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-18,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-19,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-20,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-21,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-22,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-23,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-24,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-25,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-26,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-27,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-28,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
