depreciation_and_amortisation_expense_yrly,employee_benefit_expense_yrly,exceptional_item_yrly,expenditure_yrly,finance_costs_yrly,net_profit_loss_from_ordinary_activities_after_tax_yrly,net_profit_yrly,other_income_yrly,profit_loss_from_ordinary_activities_before_tax_yrly,profit_after_interest_but_before_exceptional_items_yrly,total_income_yrly,basic_eps_yrly,date_yrly,diluted_eps_yrly
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-03,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-04,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-05,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-06,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-07,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-08,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-09,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-10,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-11,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-12,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-13,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-14,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-15,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-16,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-17,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-18,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-19,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-20,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-21,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-22,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-23,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-24,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-25,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-26,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-27,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-28,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-29,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-30,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-31,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-01,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-02,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-03,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-04,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-05,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-06,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-07,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-08,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-09,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-10,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-11,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-12,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-13,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-14,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-15,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-16,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-17,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-18,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-19,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-20,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-21,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-22,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-23,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-24,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-25,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-08-26,-5.86
