depreciation_and_amortisation_expense_qtr,employee_benefit_expenses_qtr,employee_benefit_expense_qtr,equity_capital_qtr,exceptional_item_qtr,expenditure_qtr,face_value_in_rs_qtr,finance_costs_qtr,interest_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,net_profit_qtr,number_of_public_shareholding_qtr,other_income_qtr,percentage_of_public_shareholding_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,profit_after_interest_but_before_exceptional_items_qtr,profit_before_interest_and_exceptional_items_qtr,profit_from_operations_before_other_income_interest_and_exceptional_items_qtr,revenue_from_operations_qtr,tax_qtr,total_income_qtr,basic_eps_qtr,date_qtr,diluted_eps_qtr
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-05-29,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-05-30,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-05-31,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-01,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-02,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-03,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-04,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-05,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-06,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-07,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-08,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-09,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-10,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-11,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-12,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-13,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-14,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-15,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-16,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-17,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-18,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-19,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-20,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-21,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-22,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-23,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-24,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-25,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-26,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-27,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-28,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-29,9.93
,,,174.0,,"-1,170.70",10.0,,-7.8,172.9,172.9,"57,78,293.00",35.2,33.2,248.3,248.3,256.1,220.9,,-75.4,,9.93,2009-06-30,9.93
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-01,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-02,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-03,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-04,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-05,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-06,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-07,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-08,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-09,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-10,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-11,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-12,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-13,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-14,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-15,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-16,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-17,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-18,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-19,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-20,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-21,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-22,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-23,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-24,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-25,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-26,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-27,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-28,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-29,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-30,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-07-31,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-08-01,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-08-02,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-08-03,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-08-04,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-08-05,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-08-06,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-08-07,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-08-08,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-08-09,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-08-10,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-08-11,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-08-12,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-08-13,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-08-14,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-08-15,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-08-16,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-08-17,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-08-18,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-08-19,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-08-20,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-08-21,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-08-22,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-08-23,10.38
,,,174.0,,"-1,124.00",10.0,,-3.1,180.6,180.6,"57,78,293.00",9.1,33.29,280.9,280.9,284.0,274.9,,-100.3,,10.38,2009-08-24,10.38
