current_tax_qtr,face_value_in_rs_qtr,diluted_eps_qtr,other_expenses_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,basic_diluted_eps_after_extraordinary_items_qtr,profit_from_operations_before_other_income_interest_and_exceptional_items_qtr,deferred_tax_qtr,tax_qtr,profit_after_interest_but_before_exceptional_items_qtr,finance_costs_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,total_income_qtr,basic_eps_qtr,date,interest_qtr,depreciation_and_amortisation_expense_qtr,net_profit_qtr,basic_for_discontinued_continuing_operation_qtr,net_sales_qtr,other_income_qtr,profit_before_interest_and_exceptional_items_qtr,equity_capital_qtr,expenditure_qtr
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-05,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-06,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-07,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-08,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-09,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-10,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-11,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-12,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-13,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-14,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-15,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-16,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-17,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-18,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-19,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-20,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-21,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-22,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-23,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-24,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-25,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-26,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-27,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-28,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-29,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-30,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-31,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-01,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-02,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-03,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-04,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-05,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-06,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-07,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-08,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-09,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-10,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-11,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-12,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-13,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-14,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-15,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-16,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-17,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-18,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-19,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-20,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-21,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-22,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-23,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-24,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-25,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-26,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-27,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-28,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-29,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-30,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-08-31,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-09-01,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-09-02,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-09-03,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-09-04,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-09-05,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-09-06,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-09-07,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-09-08,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-09-09,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-09-10,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-09-11,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-09-12,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-09-13,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-09-14,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-09-15,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-09-16,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-09-17,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
