shap_value,feature
5.5564678460907965e-06,volatility_kcp_100
5.542147674378265e-06,trend_adx_200
5.518929382014858e-06,volatility_kcc_5
5.442976909648368e-06,momentum_stoch_rsi_k
5.415947056202562e-06,total_income_qtr
5.382442591692822e-06,trend_kst_diff_50
5.343329927355909e-06,others_dr
5.304487115496751e-06,volatility_kcli_20
5.156196785080916e-06,volatility_bbhi_5
5.1503656417599224e-06,trend_adx_pos_50
5.124477058707704e-06,volatility_bbli_5
4.979883904829816e-06,volume_obv_50
4.9606504744111535e-06,momentum_stoch_rsi_k_5
4.9380700551456716e-06,momentum_stoch_rsi_20
4.910791679115681e-06,trend_macd_diff_100
4.865898126641156e-06,volatility_bbh_10
4.8089366159497105e-06,volatility_kch_10
4.7343672719451985e-06,trend_aroon_down_10
4.697851228914716e-06,momentum_ao_50
4.691849884311561e-06,momentum_stoch_signal_50
4.662986309204488e-06,trend_mass_index_20
4.625691382108519e-06,trend_macd_signal_10
4.539167945991881e-06,sha_percent_change
4.49139069085718e-06,trend_macd_diff_200
4.415778788207786e-06,volatility_kcl_10
4.405302996246749e-06,momentum_pvo_hist_5
4.345769726505617e-06,volatility_kcl_50
4.2716067833134425e-06,volatility_dch_5
4.2509258230979174e-06,face_value_in_rs_qtr
4.249548235709623e-06,trend_ichimoku_a_5
4.238653103893575e-06,trend_kst_sig_200
4.211249150866345e-06,trend_psar_up_indicator_100
4.177542100008761e-06,momentum_pvo_signal_100
4.159449379190479e-06,momentum_kama_50
4.145542170647495e-06,trend_kst_50
4.1386458269823275e-06,trend_ema_fast_20
4.092046887767843e-06,trend_psar_up_indicator_20
4.091854940106298e-06,volume_nvi_200
3.980304652228721e-06,volatility_kch_20
3.975295491177004e-06,others_cr_20
3.957642286513329e-06,volatility_kch_200
3.9551687094693415e-06,trend_psar_down_indicator_20
3.885397088790001e-06,volatility_dch
3.78941094033539e-06,trend_dpo_20
3.756288513003415e-06,momentum_pvo_100
3.716514221503412e-06,trend_adx_50
3.7147124348129744e-06,volatility_bbl_100
3.627466818703679e-06,momentum_ppo_signal_10
3.5746242730109165e-06,trend_adx_20
3.559795056570408e-06,momentum_ppo_5
3.545470728798029e-06,volume_fi_10
3.4172693428448568e-06,trend_visual_ichimoku_b_10
3.398140154148831e-06,momentum_pvo_signal_5
3.3942153641653327e-06,volatility_bbp_10
3.3534478129960398e-06,trend_vortex_ind_pos_5
3.3398779465656874e-06,trend_vortex_ind_neg_20
3.3148018868741455e-06,trend_cci_10
3.295792996057463e-06,volatility_kchi_20
3.2885320718976884e-06,trend_visual_ichimoku_b_100
3.2367498205599944e-06,volatility_dch_100
3.234213359401615e-06,momentum_roc_5
3.2136484127266788e-06,momentum_ppo_signal_5
3.129254895807287e-06,trend_ema_fast_200
3.053366627240238e-06,trend_psar_down_indicator_10
3.0417529968724588e-06,trend_ichimoku_base_50
3.02912018446429e-06,trend_ema_fast_5
2.985250715704559e-06,trend_sma_fast_5
2.977677902654298e-06,trend_aroon_up
2.9621117638896577e-06,momentum_ao_100
2.9523321702055987e-06,trend_ema_slow_50
2.926155381271928e-06,low_100
2.9064725626298192e-06,trend_vortex_ind_pos_200
2.8902362997728747e-06,volatility_dcm_20
2.874666621642522e-06,high_100
2.8287062902470446e-06,momentum_stoch_rsi_d_200
2.823338754515307e-06,other_income_qtr
2.7680943102991895e-06,momentum_ppo_100
2.748825526256554e-06,volume_sma_em_5
2.745759997394046e-06,momentum_ppo_signal
2.74266891536749e-06,volume_mfi_100
2.6691307719476112e-06,volatility_bbw_100
2.6542143709689834e-06,high_5
