shap_value,feature
9.809108145124777e-05,volatility_dcw_10
9.61817681014957e-05,momentum_ppo_50
9.564168776041332e-05,trend_vortex_ind_neg_20
9.42674136398164e-05,volatility_dcp_200
9.400588361596255e-05,volatility_dcl_100
9.341245732203792e-05,profit_after_interest_but_before_exceptional_items_qtr
9.288507355875906e-05,momentum_pvo_signal_100
9.278701673714134e-05,trend_macd_signal_100
8.82974082232723e-05,others_dlr_50
8.823049737562247e-05,trend_psar_up_indicator_20
8.286266794942203e-05,trend_ema_fast
8.176826608483111e-05,total_income_yrly
8.063674437628592e-05,momentum_stoch_rsi_d_20
8.015648464511692e-05,volatility_dcm_10
7.707489928324978e-05,others_cr_10
7.46586286192554e-05,volatility_bbhi_50
7.44008188084547e-05,trend_sma_fast_10
7.317906084605882e-05,net_profit_qtr
