shap_value,feature
0.0005137722209761245,trend_kst_50
0.0005104233547602723,volatility_bbp_20
0.0005068022806370603,volatility_dch_20
0.00047112847790403863,volatility_bbli_20
0.00046515675243118825,volatility_bbw_50
0.0004640986289771403,trend_mass_index_10
0.0004593566575803656,high
0.0004590052022814438,trend_ichimoku_b
0.00045758113906229454,momentum_roc_5
0.000454644121487049,volatility_kcli_20
0.0004495471223227199,volume_fi
0.0004459940213754292,volatility_atr_100
0.0004417649154178629,momentum_pvo_hist_50
0.00044028469397777795,low
0.00044007882661912053,trend_ichimoku_a_100
0.00042713679110902405,trend_kst_sig_10
0.000423249842049407,trend_adx_10
0.0004220445275892336,trend_dpo_20
0.00042070863186414645,low_20
0.00041675643015081173,volume_vpt_5
0.0004160995872171522,trend_visual_ichimoku_b_5
0.0004026219157108567,momentum_stoch_rsi_d_100
0.0003931020430410899,momentum_rsi_5
0.00037954617382754993,momentum_stoch_rsi_5
0.00037915456712702317,volume_vwap
0.0003758061647154977,volatility_dcp_200
0.0003692579473233872,trend_aroon_ind_100
0.0003669315920959703,trend_adx_pos_5
0.00035828211343318225,trend_sma_fast
0.0003580971625300101,trend_ema_slow_10
0.0003372506086027511,others_dlr_200
0.0003254783706842272,trend_macd_signal_20
0.0003133025463008879,trend_kst_10
0.0003127015673258816,trend_vortex_ind_diff_100
0.0003086202344876738,volatility_kcp_5
0.00029910924989508513,volume_nvi_10
0.0002969888042118918,trend_vortex_ind_pos_10
0.0002961190625450426,momentum_pvo_signal_200
0.00029462557789938765,momentum_ao_5
0.0002914040478215425,trend_vortex_ind_neg_5
0.0002824769993108158,others_cr_20
0.0002691174515060382,trend_cci_5
0.0002685216059744974,volume_nvi_200
0.00026786433821776736,momentum_kama_20
0.000267520096638087,momentum_wr_10
0.0002652087372121035,momentum_ppo_signal
0.00025803659525646907,trend_ichimoku_base
0.00025311586093688666,volatility_bbhi_5
0.0002519239416669651,volatility_kcw
0.0002510520508634119,volatility_dcw_5
0.00024891306824574886,volatility_ui_5
0.00024835231370629675,trend_visual_ichimoku_a_10
0.0002459182813057757,others_cr_5
0.0002442681678812412,volatility_atr_5
0.00023830554645191618,trend_vortex_ind_neg_200
0.00023004203519855072,volume_adi_100
0.00022418622703908764,trend_kst_diff_5
0.0002167020974608812,volatility_dcm
0.00021667697014836354,momentum_stoch_signal_200
0.00021469578195805112,volume_nvi_5
0.00021243130371810184,trend_sma_fast_20
0.00021113920037440847,trend_vortex_ind_neg
0.0002029620034486025,momentum_roc
0.0002022254575213301,volatility_atr_200
0.00019518656422644445,volatility_bbhi_20
0.0001941649995217777,volatility_dcw
0.00019369477121399133,volume_nvi_20
0.00019364160327877092,volatility_dcw_10
