Net Sales,Other Income,Total Income,Expenditure,Cost of Materials Consumed,Finance Costs,Other Expenses,Employee benefit expense,Depreciation and amortisation expense,Profit (+)/ Loss (-) from Ordinary Activities before Tax,Tax,Net Profit (+)/ Loss (-) from Ordinary Activities after Tax,Net Profit,Current tax,Deferred tax,Minority Interest,Share of Profit & Loss of Asso,Net Profit after Mino Inter & Share of P & L,Any Other,Income Attributable to Consolidated Group,EPS after Extraordinary items (in Rs),Exceptional Item,Profit after Interest but before Exceptional Items,Net Profit Loss for the period from continuing operations,Profit (loss) from discontinuing operations before tax,Tax expense of discontinuing operations,Net profit (loss) from discontinuing operation after tax,Other Comprehensive Income Net of Taxes,Any Other Comprehensive Item,Total Comprehensive Income for the Period,Total Amount of items that will not be reclassified to profit and loss,Income tax relating to items that will not be reclassified to profit or loss,Total Amount of items that will be reclassified to profit and loss,Income tax relating to items that will be reclassified to profit or loss,Net movement in regulatory deferral account balances,Share of profit(loss) of associates and joint ventures,Basic EPS for continuing operation,Diluted EPS for continuing operation,Basic for discontinued & continuing operation,Diluted for discontinued & continuing operation,,date,"Cost of Land, Plots, Constructed Properties and Others",Employee benefits expenses,Depreciation and amortisation expenses,Tax Expenses,Revenue from Operations,Diluted for discontinued operation,Basic for discontinued operation,"Cost of Land, Plots, Constructed Properties",Others,Reserves,"Profit or Loss, Attributable to Owners of Parent",Prior Period Items,Employee Benefit Expenses,Equity Capital,"Total Profit or Loss, Attributable to Non-Controlling Interests",Extraordinary Item,Prior Period Adjustments,Interest,Extraordinary Items,Total Comprehensive Income for the Period Attributable to Owners of Parent Non-Controlling Interests,"Depreciation, Amortisation & Impairment",EPS before Extraordinary items (in Rs),"Profit from Operations before Other Income, Interest and Exceptional Items",Diluted EPS after Extraordinary items,Comprehensive Income for the Period Attributable to Owners of Parent,Cost of Investment In Sub,Basic EPS after Extraordinary items,Sales & Other Receipts,"Cost of Land, Development Rights, Constructed Properities & Others",Profit before Interest and Exceptional Items,Face Value (in Rs),Diluted EPS before Extraordinary items,Basic EPS before Extraordinary items,Pending at the beginning of the quarter,Cost of Revenues,Debt Equity Ratio,Other Expenditure,Percentage of Public Shareholding,Deferred Tax,Disposed of during the quarter,Debt Service Coverage Ratio,Debt Earning Per Share (EPS),Paid up Debt Capital,Received during the quarter,Depreciation,Provision for Tax including Fringe Benefit Tax,Debt Face Value,Debenture Redemption Reserve,Remaining unresolved at the end of the quarter,Number of Public Shareholding,Staff Cost,Investor Complaints,Cost of Land Plots & Constructed Properties,Interest Service Coverage Ratio
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54,140.60","5,308.30","59,448.90","-50,091.00","-28,492.30","-8,533.60","-8,332.50","-3,137.80","-1,594.80","8,395.80","-3,622.80","4,773.00","10,826.00","-1,060.70","-2,562.10",0.00,0.00,"10,826.00",0.00,"10,826.00",,-962.10,"9,357.90","4,773.00",0.00,0.00,0.00,35.20,0.00,"10,861.20",0.00,0.00,0.00,0.00,0.00,"6,053.00",4.42,4.42,4.42,4.42,Notes,2020-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
