,Scrip Code,COMPANY,ISIN No.,Close Price,CLEAN_COMPANY,TICKER
226,542726,Indiamart Intermesh Limited,INE933S01016,5907.9,indiamart intermesh limited,INDIAMART.NS
227,532814,Indian Bank,INE562A01011,283.0,indian bank,SOUTHBANK.NS
228,540750,Indian Energy Exchange Ltd,INE022Q01020,128.7,indian energy exchange,IEX.NS
229,500850,Indian Hotels Co Ltd,INE053A01029,396.1,indian hotels co,INDHOTEL.NS
230,530965,Indian Oil Corp Ltd,INE242A01010,91.85,indian oil corp,IOC.NS
231,532388,Indian Overseas Bank,INE565A01014,24.19,indian overseas bank,IOB.NS
232,542830,Indian Railway Catering and Tourism Corporation Ltd,INE335Y01020,667.55,indian railway catering,IRCTC.NS
233,543257,Indian Railway Finance Corporation Limited,INE053F01010,33.0,indian railway finance corporation limited,IRFC.NS
234,543258,Indigo Paints Ltd,INE09VQ01012,1420.85,indigo paints,INDIGOPNTS.NS
235,532514,Indraprastha Gas Ltd,INE203G01027,458.85,indraprastha gas,IGL.NS
236,534816,Indus Towers Ltd,INE121J01017,160.65,indus towers,INDUSTOWER.NS
237,532187,IndusInd Bank Ltd,INE095A01012,1301.2,indusind bank,INDUSINDBK.NS
238,539807,Infibeam Avenues Ltd,INE483S01020,15.83,infibeam avenues,INFIBEAM.NS
239,532777,Info Edge (India) Ltd.,INE663F01024,4438.25,info edge (india),NAUKRI.NS
240,500209,Infosys Ltd,INE009A01021,1295.25,infosys,INFY
241,538835,Intellect Design Arena Ltd.,INE306R01017,616.0,intellect design arena,INTELLECT.NS
242,539448,InterGlobe Aviation Ltd,INE646L01027,2432.7,interglobe aviation,INDIGO.NS
243,524494,Ipca Laboratories Ltd,INE571A01038,728.8,ipca laboratories,IPCALAB.NS
244,532947,IRB Infrastructure Developers Ltd,INE821I01022,26.82,irb infrastructure developers,IRB.NS
245,541956,IRCON International Ltd,INE962Y01021,84.17,ircon international,IRCON.NS
246,500875,ITC Ltd,INE154A01025,453.5,itc,ITC.NS
247,523610,ITI Ltd,INE248A01017,108.65,iti,ITI
248,506943,J.B.Chemicals & Pharmaceuticals Ltd.,INE572A01028,2347.0,j.b.chemicals,JBCHEPHARM.NS
249,532644,J.K. Cement Ltd.,INE823G01014,3370.55,j.k. cement,JKCEMENT.NS
250,520051,Jamna Auto Industries Ltd,INE039C01032,96.48,jamna auto industries,JAMNAAUTO.NS
251,532508,Jindal Stainless Ltd.,INE220G01021,327.65,jindal stainless,JSL.NS
252,532286,Jindal Steel & Power Ltd,INE749A01030,574.75,jindal steel,JINDALSTEL.NS
