Scrip Code,COMPANY,ISIN No.,Close Price
524742,Caplin Point Laboratories Ltd,INE475E01026,812.75
531595,Capri Global Capital  LTD,INE180C01026,749.35
513375,Carborundum Universal Ltd,INE120A01034,1216.05
500870,Castrol India Ltd,INE172A01027,121.9
519600,CCL Products (India) Ltd.,INE421D01022,659.35
500878,CEAT Ltd,INE482A01020,2045.55
532885,Central Bank of India,INE483A01010,27.52
532548,Century Plyboards India Ltd,INE348B01021,618.25
500040,Century Textile & Industries Ltd,INE055A01016,814.1
532443,Cera Sanitaryware Ltd,INE739E01017,7907.4
500084,CESC Ltd,INE486A01021,72.01
500093,CG Power and Industrial Solutions Ltd,INE067A01029,363.7
542399,Chalet Hotels Ltd,INE427F01016,419.2
500085,Chambal Fertilizers & Chemicals Ltd,INE085A01013,278.35
543336,Chemplast Sanmar Ltd,INE488A01050,452.7
504973,Cholamandalam Financial Holdings Ltd,INE149A01033,935.85
511243,Cholamandalam Investment & Finance Co. Ltd.,INE121A01024,1132.5
532756,CIE Automotive India Ltd,INE536H01010,525.75
500087,Cipla Ltd/India,INE059A01026,1011.55
532210,City Union Bank Ltd.,INE491A01021,124.3
543318,Clean Science and Technology Ltd,INE227W01023,1383.85
533278,Coal India Ltd,INE522F01014,227.3
540678,Cochin Shipyard Ltd,INE704P01017,593.1
532541,Coforge Ltd,INE591G01017,4562.55
500830,Colgate-Palmolive India Ltd,INE259A01022,1648.95
543232,Computer Age Management Services Ltd,INE596I01012,2180.45
531344,Container Corp Of India,INE111A01025,660.7
506395,Coromandel International Ltd,INE169A01031,940.55
541770,CreditAccess Grameen Ltd,INE741K01010,1272.85
500092,CRISIL Ltd,INE007A01025,3915.2
539876,Crompton Greaves Consumer Electricals Ltd,INE299U01018,290.05
542867,CSB Bank Ltd,INE679A01013,266.9
500480,Cummins India Ltd,INE298A01020,1876.6
532175,Cyient Ltd,INE136B01020,1513.15
500096,Dabur India Ltd,INE016A01026,569.2
542216,Dalmia Bharat Ltd,INE00R701025,2241.15
523367,DCM Shriram Ltd,INE499A01024,859.85
