Date,Open,High,Low,Close,Adj Close,Volume
2021-07-29,85.69999694824219,87.30000305175781,85.3499984741211,86.80000305175781,84.1835708618164,1132912
2021-07-30,86.80000305175781,88.5999984741211,85.69999694824219,87.75,85.10493469238281,356408
2021-08-02,88.69999694824219,89.4000015258789,86.4000015258789,86.69999694824219,84.08657836914062,337226
2021-08-03,89.5,90.0,87.0,87.9000015258789,85.25041198730469,562826
2021-08-04,88.9000015258789,88.9000015258789,86.1500015258789,87.0,84.3775405883789,247053
2021-08-05,87.0999984741211,90.4000015258789,84.5999984741211,89.30000305175781,86.60821533203125,625186
2021-08-06,89.30000305175781,89.9000015258789,87.5999984741211,88.19999694824219,85.54136657714844,275002
2021-08-09,88.25,88.5,84.80000305175781,85.25,82.68029022216797,326207
2021-08-10,85.25,85.6500015258789,81.4000015258789,83.25,80.7405776977539,490838
2021-08-11,83.25,84.69999694824219,79.55000305175781,84.25,81.71043395996094,267652
2021-08-12,85.0,86.0999984741211,83.8499984741211,84.94999694824219,82.38933563232422,233691
2021-08-13,84.94999694824219,85.5,83.05000305175781,83.3499984741211,80.83756256103516,102299
2021-08-16,83.3499984741211,83.80000305175781,80.80000305175781,81.19999694824219,78.75237274169922,488328
2021-08-17,81.0,82.25,80.0,80.69999694824219,78.26744079589844,249416
2021-08-18,80.69999694824219,81.9000015258789,79.05000305175781,79.6500015258789,77.24909210205078,228178
2021-08-20,79.5,79.5,76.5,77.19999694824219,74.87294006347656,174968
2021-08-23,80.75,80.75,70.0,70.94999694824219,68.81134033203125,452727
2021-08-24,72.4000015258789,77.1500015258789,69.94999694824219,75.8499984741211,73.56363677978516,681004
2021-08-25,76.9000015258789,76.9000015258789,74.94999694824219,75.5999984741211,73.32117462158203,213867
2021-08-26,75.5999984741211,79.3499984741211,74.9000015258789,75.8499984741211,73.56363677978516,278704
2021-08-27,74.0999984741211,78.6500015258789,74.0999984741211,76.5,74.19404602050781,145671
2021-08-30,77.9000015258789,78.94999694824219,76.80000305175781,77.5999984741211,75.2608871459961,270139
2021-08-31,77.55000305175781,80.19999694824219,76.55000305175781,79.1500015258789,76.76416778564453,546001
2021-09-01,79.9000015258789,80.5,76.8499984741211,78.30000305175781,75.93978881835938,301017
2021-09-02,79.19999694824219,79.80000305175781,76.75,78.0,75.6488265991211,176167
2021-09-03,78.69999694824219,81.4000015258789,78.05000305175781,80.5999984741211,78.17045593261719,322741
2021-09-06,80.5999984741211,81.80000305175781,78.30000305175781,79.0,76.61869049072266,345669
2021-09-07,79.44999694824219,79.44999694824219,76.94999694824219,77.44999694824219,75.11540985107422,172581
2021-09-08,77.25,78.8499984741211,75.80000305175781,76.94999694824219,74.63047790527344,267315
2021-09-09,77.0,79.0999984741211,76.5999984741211,78.6500015258789,76.27923583984375,749110
2021-09-13,79.69999694824219,79.69999694824219,77.5,77.94999694824219,75.60033416748047,113230
2021-09-14,78.5,80.44999694824219,78.5,79.8499984741211,77.44306182861328,424150
2021-09-15,80.5,87.44999694824219,80.3499984741211,85.80000305175781,83.21371459960938,1538251
2021-09-16,85.75,85.80000305175781,82.3499984741211,82.9000015258789,80.40113067626953,717714
2021-09-17,83.05000305175781,83.6500015258789,79.6500015258789,80.0,77.58854675292969,589675
2021-09-20,78.0,80.5999984741211,77.8499984741211,78.0999984741211,75.74581146240234,297104
2021-09-21,78.0999984741211,80.94999694824219,77.19999694824219,80.0999984741211,77.68553161621094,256635
2021-09-22,80.9000015258789,81.75,79.0,81.0,78.55840301513672,388756
2021-09-23,81.94999694824219,83.8499984741211,81.55000305175781,82.80000305175781,80.30414581298828,212429
2021-09-24,83.69999694824219,83.69999694824219,80.94999694824219,81.5,79.04332733154297,167595
2021-09-27,81.8499984741211,82.4000015258789,80.44999694824219,80.9000015258789,78.46141815185547,280596
2021-09-28,81.0999984741211,82.69999694824219,79.6500015258789,80.69999694824219,78.26744079589844,149413
2021-09-29,79.55000305175781,82.3499984741211,79.55000305175781,81.9000015258789,79.4312744140625,196022
2021-09-30,82.30000305175781,83.4000015258789,81.55000305175781,82.4000015258789,79.91619873046875,308695
2021-10-01,82.4000015258789,83.25,81.6500015258789,81.9000015258789,79.4312744140625,144126
2021-10-04,81.3499984741211,84.69999694824219,81.3499984741211,82.80000305175781,80.30414581298828,348471
2021-10-05,83.0,83.69999694824219,82.05000305175781,82.1500015258789,79.67373657226562,119390
2021-10-06,83.25,83.6500015258789,82.19999694824219,83.19999694824219,80.69208526611328,408344
2021-10-07,83.5,85.44999694824219,82.80000305175781,83.69999694824219,81.17700958251953,298818
2021-10-08,83.80000305175781,84.80000305175781,82.3499984741211,83.19999694824219,80.69208526611328,448108
2021-10-11,84.0,85.4000015258789,83.0999984741211,83.55000305175781,81.03153991699219,242235
2021-10-12,84.0,84.0999984741211,82.05000305175781,82.4000015258789,79.91619873046875,166088
2021-10-13,82.0999984741211,83.3499984741211,81.75,81.94999694824219,79.4797592163086,532874
2021-10-14,82.1500015258789,82.5999984741211,81.25,81.5,79.04332733154297,153747
2021-10-18,82.19999694824219,83.94999694824219,81.6500015258789,81.8499984741211,79.38277435302734,278344
2021-10-19,82.69999694824219,82.94999694824219,78.3499984741211,79.0,76.61869049072266,259690
2021-10-20,80.5,80.5,77.5999984741211,78.3499984741211,75.98828125,235218
2021-10-21,78.0999984741211,79.75,77.5,78.05000305175781,75.69732666015625,311667
2021-10-22,78.4000015258789,79.9000015258789,75.5999984741211,76.94999694824219,74.63047790527344,275544
2021-10-25,78.4000015258789,78.4000015258789,74.55000305175781,74.80000305175781,72.5452880859375,218109
2021-10-26,76.0999984741211,76.94999694824219,74.4000015258789,74.94999694824219,72.69076538085938,183751
2021-10-27,75.0,76.19999694824219,74.44999694824219,74.75,72.49679565429688,138649
2021-10-28,74.94999694824219,75.0,70.80000305175781,71.1500015258789,69.00531005859375,479214
2021-10-29,72.0,73.55000305175781,69.5,71.25,69.102294921875,261205
2021-11-01,71.8499984741211,72.9000015258789,70.19999694824219,71.69999694824219,69.53872680664062,427402
2021-11-02,71.0,74.0,70.75,73.1500015258789,70.94502258300781,544799
2021-11-03,73.8499984741211,75.30000305175781,73.0,73.5999984741211,71.38146209716797,498655
2021-11-04,73.9000015258789,75.30000305175781,73.8499984741211,75.0,72.7392578125,141134
2021-11-08,75.44999694824219,80.4000015258789,74.5999984741211,79.55000305175781,77.15211486816406,816825
2021-11-09,79.75,83.8499984741211,79.0,80.80000305175781,78.36443328857422,1528119
2021-11-10,80.05000305175781,81.75,79.5,80.44999694824219,78.02497863769531,312635
2021-11-11,81.75,81.75,78.5999984741211,79.05000305175781,76.66718292236328,281803
2021-11-12,78.80000305175781,80.55000305175781,77.5,80.05000305175781,77.63703918457031,412529
2021-11-15,80.6500015258789,82.25,80.6500015258789,81.69999694824219,79.23729705810547,878700
2021-11-16,82.0,82.9000015258789,80.1500015258789,80.3499984741211,77.92799377441406,308654
2021-11-17,80.3499984741211,80.80000305175781,78.30000305175781,78.8499984741211,76.47320556640625,189177
2021-11-18,79.3499984741211,79.44999694824219,77.0999984741211,77.44999694824219,75.11540985107422,384660
2021-11-22,78.0,78.19999694824219,73.3499984741211,74.69999694824219,72.44830322265625,235058
2021-11-23,75.0,76.8499984741211,73.69999694824219,76.0,73.70911407470703,355639
2021-11-24,76.9000015258789,77.6500015258789,76.05000305175781,76.4000015258789,74.09706115722656,347181
2021-11-25,77.94999694824219,77.94999694824219,75.30000305175781,75.80000305175781,73.51515197753906,117419
2021-11-26,75.80000305175781,75.80000305175781,73.69999694824219,74.30000305175781,72.06036376953125,221682
2021-11-29,72.05000305175781,73.75,69.1500015258789,71.3499984741211,69.19927978515625,304512
2021-11-30,72.0,73.5,70.4000015258789,70.80000305175781,68.66586303710938,367586
2021-12-01,71.05000305175781,72.75,70.55000305175781,71.9000015258789,69.73270416259766,158765
2021-12-02,71.75,72.69999694824219,71.44999694824219,72.44999694824219,70.26612091064453,134186
2021-12-03,73.0,75.5,72.55000305175781,74.44999694824219,72.2058334350586,379895
2021-12-06,73.8499984741211,74.75,72.69999694824219,73.0,70.79954528808594,346041
2021-12-07,74.55000305175781,74.55000305175781,73.1500015258789,74.0999984741211,71.86638641357422,166530
2021-12-08,74.9000015258789,76.8499984741211,74.5999984741211,76.55000305175781,74.24253845214844,368294
2021-12-09,77.4000015258789,77.75,76.1500015258789,77.0,74.67897033691406,257561
2021-12-10,75.80000305175781,77.55000305175781,75.5,76.0,73.70911407470703,234564
2021-12-13,76.05000305175781,77.75,75.0,75.8499984741211,73.56363677978516,329308
2021-12-14,75.8499984741211,75.94999694824219,74.69999694824219,75.19999694824219,72.9332275390625,100230
2021-12-15,75.5,75.55000305175781,73.5,73.6500015258789,71.4299545288086,116561
2021-12-16,74.94999694824219,74.94999694824219,72.0999984741211,72.30000305175781,70.12065124511719,124406
2021-12-17,72.05000305175781,72.3499984741211,70.19999694824219,70.4000015258789,68.27792358398438,255706
2021-12-20,71.4000015258789,71.4000015258789,66.30000305175781,67.5,65.46533203125,369776
2021-12-21,68.5,69.8499984741211,67.0999984741211,68.0999984741211,66.04724884033203,230464
2021-12-22,68.5999984741211,69.4000015258789,68.19999694824219,68.69999694824219,66.62915802001953,279916
2021-12-23,70.0,70.30000305175781,69.1500015258789,69.80000305175781,67.69600677490234,204648
2021-12-24,71.0,71.0,68.05000305175781,68.55000305175781,66.48368835449219,185781
2021-12-27,68.75,68.8499984741211,67.5,68.5,66.43518829345703,298934
2021-12-28,68.5999984741211,70.3499984741211,68.5999984741211,69.5,67.40504455566406,181217
2021-12-29,70.0999984741211,71.5999984741211,69.19999694824219,70.4000015258789,68.27792358398438,215359
2021-12-30,70.94999694824219,71.5,69.25,69.8499984741211,67.74449920654297,267348
2021-12-31,70.0999984741211,71.0999984741211,69.9000015258789,70.30000305175781,68.18093872070312,135840
2022-01-03,70.30000305175781,72.6500015258789,70.30000305175781,71.75,69.58722686767578,416605
2022-01-04,72.69999694824219,73.30000305175781,71.0,71.75,69.58722686767578,216585
2022-01-05,71.80000305175781,71.80000305175781,69.75,69.94999694824219,67.84147644042969,222118
2022-01-06,68.80000305175781,70.8499984741211,68.80000305175781,70.25,68.13243865966797,431860
2022-01-07,70.25,71.3499984741211,69.75,70.5999984741211,68.47188568115234,375634
2022-01-10,71.0,74.8499984741211,70.3499984741211,74.0,71.76940155029297,1662885
2022-01-11,76.19999694824219,76.75,74.44999694824219,75.55000305175781,73.2726821899414,1638693
2022-01-12,76.19999694824219,77.8499984741211,74.9000015258789,77.25,74.92144012451172,1185678
2022-01-13,77.69999694824219,77.69999694824219,75.5999984741211,76.19999694824219,73.90308380126953,462477
2022-01-14,75.94999694824219,78.5,75.5,77.6500015258789,75.30937957763672,870951
2022-01-17,78.44999694824219,79.8499984741211,76.9000015258789,78.69999694824219,76.32772827148438,520965
2022-01-18,79.0,79.44999694824219,75.5999984741211,76.05000305175781,73.75761413574219,368831
2022-01-19,75.55000305175781,77.4000015258789,75.0999984741211,77.0,74.67897033691406,378184
2022-01-20,77.0,77.30000305175781,75.69999694824219,76.0999984741211,73.80609893798828,243920
2022-01-21,75.8499984741211,75.9000015258789,73.0999984741211,73.75,71.52693939208984,403564
2022-01-24,73.55000305175781,73.75,69.3499984741211,70.1500015258789,68.03545379638672,739485
2022-01-25,70.0,70.9000015258789,68.0999984741211,69.30000305175781,67.2110824584961,365596
2022-01-27,69.30000305175781,72.44999694824219,68.6500015258789,71.0999984741211,68.95681762695312,444140
2022-01-28,72.4000015258789,76.4000015258789,72.1500015258789,74.5,72.25433349609375,557719
2022-01-31,75.3499984741211,75.8499984741211,74.25,74.94999694824219,72.69076538085938,420455
2022-02-01,75.69999694824219,78.5,74.5,75.19999694824219,72.9332275390625,846435
2022-02-02,75.9000015258789,76.5999984741211,74.5999984741211,75.05000305175781,72.78775787353516,383607
2022-02-03,75.05000305175781,75.8499984741211,74.5,74.94999694824219,72.69076538085938,321827
2022-02-04,75.0,75.44999694824219,73.75,73.94999694824219,71.72090911865234,331548
2022-02-07,74.0,74.4000015258789,73.0,73.75,71.52693939208984,295723
2022-02-08,74.25,75.0,71.0999984741211,72.05000305175781,69.87818908691406,479048
2022-02-09,71.5,72.4000015258789,70.5,71.0999984741211,68.95681762695312,502426
2022-02-10,71.80000305175781,71.80000305175781,70.3499984741211,71.0,68.85983276367188,286391
2022-02-11,70.80000305175781,71.05000305175781,70.05000305175781,70.44999694824219,68.32640838623047,184259
2022-02-15,67.25,68.05000305175781,64.6500015258789,67.5,65.46533203125,425159
2022-02-16,67.8499984741211,68.5,66.8499984741211,67.0999984741211,65.077392578125,395901
2022-02-17,67.94999694824219,67.94999694824219,65.55000305175781,65.94999694824219,63.96205139160156,252665
2022-02-18,65.05000305175781,66.3499984741211,64.55000305175781,65.44999694824219,63.47712326049805,199048
2022-02-21,65.44999694824219,65.44999694824219,62.5,63.70000076293945,61.77988052368164,242605
2022-02-22,62.0,62.099998474121094,60.5,60.95000076293945,59.11277389526367,521793
2022-02-23,62.0,62.400001525878906,61.150001525878906,61.29999923706055,59.45222091674805,278753
2022-02-24,60.0,60.0,55.79999923706055,56.150001525878906,54.457462310791016,418708
2022-02-25,59.400001525878906,60.400001525878906,57.650001525878906,59.70000076293945,57.90045166015625,590543
2022-02-28,59.900001525878906,63.599998474121094,57.849998474121094,62.349998474121094,60.4705696105957,265860
2022-03-02,62.04999923706055,64.0,60.400001525878906,62.04999923706055,60.17961502075195,761549
2022-03-03,62.79999923706055,63.29999923706055,60.54999923706055,60.75,58.918800354003906,223423
2022-03-04,59.29999923706055,62.20000076293945,59.29999923706055,61.29999923706055,59.45222091674805,306192
2022-03-07,58.650001525878906,60.150001525878906,58.400001525878906,59.599998474121094,57.803462982177734,340872
2022-03-08,60.0,60.849998474121094,57.45000076293945,59.400001525878906,57.6094970703125,921169
2022-03-09,60.95000076293945,63.20000076293945,59.75,62.04999923706055,60.17961502075195,1157590
2022-03-10,64.05000305175781,64.5,62.0,63.400001525878906,61.488922119140625,396755
2022-03-11,63.70000076293945,63.900001525878906,61.54999923706055,62.150001525878906,60.2765998840332,197850
2022-03-14,62.5,63.20000076293945,60.0,60.29999923706055,58.482364654541016,583879
2022-03-15,61.0,61.650001525878906,60.0,60.400001525878906,58.57935333251953,178507
2022-03-16,61.849998474121094,61.849998474121094,60.54999923706055,61.349998474121094,59.50071334838867,278782
2022-03-17,62.099998474121094,62.650001525878906,60.849998474121094,61.650001525878906,59.79167175292969,263375
2022-03-21,62.95000076293945,62.95000076293945,61.0,61.70000076293945,59.84016418457031,156516
2022-03-22,62.45000076293945,62.45000076293945,60.400001525878906,60.599998474121094,58.773319244384766,161385
2022-03-23,60.79999923706055,62.400001525878906,60.79999923706055,61.650001525878906,59.79167175292969,378840
2022-03-24,61.95000076293945,61.95000076293945,60.650001525878906,60.849998474121094,59.015785217285156,129205
2022-03-25,60.849998474121094,61.349998474121094,60.099998474121094,60.599998474121094,58.773319244384766,407058
2022-03-28,61.0,61.0,59.0,59.29999923706055,57.512508392333984,499149
2022-03-29,59.29999923706055,59.95000076293945,58.20000076293945,58.70000076293945,56.93059539794922,493570
2022-03-30,59.70000076293945,60.150001525878906,59.0,59.150001525878906,57.36703109741211,455902
2022-03-31,59.5,59.849998474121094,58.45000076293945,58.54999923706055,56.78511428833008,397444
2022-04-01,61.0,65.4000015258789,61.0,64.94999694824219,62.99219512939453,1878280
2022-04-04,65.3499984741211,72.0,65.3499984741211,71.1500015258789,69.00531005859375,1676813
2022-04-05,71.5,72.0,69.0999984741211,70.0,67.88997650146484,811212
2022-04-06,69.94999694824219,70.25,68.69999694824219,69.0999984741211,67.01710510253906,237577
2022-04-07,69.94999694824219,69.94999694824219,66.75,67.1500015258789,65.12588500976562,712255
2022-04-08,67.1500015258789,69.0,67.1500015258789,68.75,66.67765808105469,405097
2022-04-11,68.4000015258789,71.9000015258789,68.25,70.80000305175781,68.66586303710938,759551
2022-04-12,70.55000305175781,70.8499984741211,68.5999984741211,70.0999984741211,67.9869613647461,420457
2022-04-13,70.30000305175781,70.69999694824219,69.0,69.5999984741211,67.50202941894531,209670
2022-04-18,71.6500015258789,72.6500015258789,70.94999694824219,71.6500015258789,69.49024200439453,599628
2022-04-19,72.9000015258789,72.9000015258789,69.1500015258789,70.69999694824219,68.5688705444336,586502
2022-04-20,71.0,71.5999984741211,69.1500015258789,69.3499984741211,67.25956726074219,996127
2022-04-21,70.0,71.19999694824219,69.3499984741211,70.4000015258789,68.27792358398438,452336
2022-04-22,70.4000015258789,72.25,69.69999694824219,70.1500015258789,68.03545379638672,220615
2022-04-25,69.0999984741211,69.1500015258789,68.0,68.0999984741211,66.04724884033203,183938
2022-04-26,68.5,69.8499984741211,68.25,68.5999984741211,66.53217315673828,115167
2022-04-27,67.55000305175781,69.8499984741211,67.3499984741211,69.30000305175781,67.2110824584961,437119
2022-04-28,70.0,70.5,68.5999984741211,69.19999694824219,67.11408996582031,492147
2022-04-29,69.3499984741211,70.0,67.44999694824219,68.25,66.1927261352539,283469
2022-05-04,67.6500015258789,67.9000015258789,65.75,67.25,65.22286987304688,408101
2022-05-05,68.0,68.0,64.5999984741211,65.05000305175781,63.08918762207031,311801
2022-05-06,64.69999694824219,64.69999694824219,63.54999923706055,63.70000076293945,61.77988052368164,153399
2022-05-09,62.95000076293945,64.80000305175781,61.54999923706055,64.19999694824219,62.26480484008789,323675
2022-05-10,64.19999694824219,66.19999694824219,62.79999923706055,63.29999923706055,61.39193344116211,232187
2022-05-11,64.94999694824219,64.94999694824219,60.20000076293945,62.349998474121094,60.4705696105957,388107
2022-05-12,62.79999923706055,63.599998474121094,60.849998474121094,62.400001525878906,60.519065856933594,1270054
2022-05-13,63.900001525878906,64.6500015258789,61.400001525878906,62.099998474121094,60.22810745239258,446798
2022-05-16,63.5,64.0,61.599998474121094,62.29999923706055,60.42207717895508,264420
2022-05-17,62.29999923706055,64.4000015258789,62.0,63.79999923706055,61.876861572265625,264344
2022-05-18,64.5999984741211,64.5999984741211,62.599998474121094,64.0999984741211,62.16781997680664,186177
2022-05-19,61.54999923706055,63.29999923706055,61.54999923706055,62.54999923706055,60.66454315185547,2009288
2022-05-20,64.30000305175781,64.94999694824219,63.349998474121094,64.6500015258789,62.70124435424805,124230
2022-05-23,65.69999694824219,65.75,63.70000076293945,64.0999984741211,62.16781997680664,195303
2022-05-24,63.349998474121094,64.4000015258789,62.70000076293945,62.849998474121094,60.95549774169922,975640
2022-05-25,63.45000076293945,63.95000076293945,60.599998474121094,60.95000076293945,59.11277389526367,102976
2022-05-26,62.5,62.5,58.79999923706055,61.400001525878906,59.54920959472656,206013
2022-05-27,62.099998474121094,62.75,60.29999923706055,60.849998474121094,59.015785217285156,255352
2022-05-30,61.900001525878906,63.25,61.650001525878906,62.599998474121094,60.713035583496094,90133
2022-05-31,63.29999923706055,66.05000305175781,62.650001525878906,64.5,62.555763244628906,1222059
2022-06-01,64.44999694824219,65.80000305175781,63.599998474121094,64.6500015258789,62.70124435424805,218651
2022-06-02,64.5,64.5999984741211,63.29999923706055,63.650001525878906,61.731388092041016,108170
2022-06-03,64.8499984741211,65.19999694824219,63.29999923706055,64.19999694824219,62.26480484008789,245223
2022-06-06,64.94999694824219,64.94999694824219,63.099998474121094,63.29999923706055,61.39193344116211,991522
