id,date,polarity,subjectivity,compound
516,2021-01-01,-0.05,0.66,-0.36
502,2021-01-01,0.08,0.38,-0.96
508,2021-01-01,0.16,0.46,1.0
505,2021-01-01,0.06,0.38,0.3
506,2021-01-01,0.52,0.8,0.95
511,2021-01-01,0.16,0.45,1.0
513,2021-01-01,0.0,0.0,0.42
520,2021-01-01,0.07,0.36,0.99
515,2021-01-01,0.07,0.44,-0.97
517,2021-01-01,0.09,0.4,0.99
519,2021-01-01,0.1,0.41,0.97
526,2021-01-03,0.15,0.27,0.95
518,2021-01-01,0.06,0.42,0.62
528,2021-01-03,0.05,0.32,0.97
530,2021-01-03,0.1,0.41,1.0
522,2021-01-01,0.11,0.34,0.48
532,2021-01-03,0.1,0.64,-0.99
521,2021-01-01,0.02,0.39,0.69
523,2021-01-01,0.11,0.33,0.99
527,2021-01-03,-0.06,0.37,-0.99
529,2021-01-03,0.05,0.32,0.97
525,2021-01-03,0.1,0.42,0.97
531,2021-01-03,0.09,0.61,0.95
537,2021-01-03,0.05,0.38,0.99
524,2021-01-03,0.09,0.46,-0.98
533,2021-01-03,0.11,0.37,0.96
535,2021-01-03,0.08,0.35,0.99
534,2021-01-03,0.06,0.41,0.99
536,2021-01-03,0.04,0.39,-0.61
538,2021-01-03,0.1,0.35,0.98
545,2021-01-03,0.01,0.47,-0.94
541,2021-01-03,0.03,0.35,-0.97
540,2021-01-03,0.12,0.41,0.99
546,2021-01-03,0.01,0.47,-0.94
550,2021-01-03,-0.05,0.33,-0.99
539,2021-01-03,-0.06,0.32,0.62
542,2021-01-03,0.08,0.56,0.96
543,2021-01-03,0.08,0.5,0.8
547,2021-01-03,-0.02,0.29,0.88
544,2021-01-03,0.14,0.41,1.0
548,2021-01-03,0.06,0.37,-0.84
555,2021-01-03,0.04,0.34,-0.2
549,2021-01-03,0.19,0.54,0.98
553,2021-01-03,-0.12,0.29,0.57
557,2021-01-03,0.09,0.25,0.92
558,2021-01-03,0.04,0.44,0.99
552,2021-01-03,0.25,0.52,0.91
554,2021-01-03,0.15,0.49,-0.96
563,2021-01-03,0.11,0.4,0.99
556,2021-01-03,0.01,0.31,0.7
559,2021-01-03,0.1,0.41,0.96
560,2021-01-03,0.0,0.35,0.82
568,2021-01-03,0.03,0.25,0.71
562,2021-01-03,-0.04,0.38,-0.71
561,2021-01-03,0.05,0.18,0.38
564,2021-01-03,0.11,0.4,0.99
566,2021-01-03,0.0,0.38,-0.99
565,2021-01-03,0.11,0.4,0.99
551,2021-01-03,0.25,0.52,0.91
567,2021-01-03,0.16,0.36,0.68
574,2021-01-03,0.05,0.5,-0.15
571,2021-01-03,-0.02,0.38,-0.27
573,2021-01-03,-0.05,0.31,0.34
572,2021-01-03,-0.02,0.43,0.54
569,2021-01-03,-0.03,0.44,-0.99
575,2021-01-03,0.05,0.23,0.97
578,2021-01-03,-0.01,0.41,-0.87
583,2021-01-03,0.19,0.41,0.97
576,2021-01-03,0.08,0.38,0.96
577,2021-01-03,0.1,0.33,0.08
570,2021-01-03,0.04,0.35,0.91
587,2021-01-09,0.11,0.31,0.97
580,2021-01-03,-0.02,0.26,-0.2
581,2021-01-03,0.02,0.25,0.89
579,2021-01-03,0.03,0.42,0.03
589,2021-01-09,0.14,0.42,0.53
582,2021-01-03,0.22,0.51,0.95
586,2021-01-09,0.12,0.43,-0.8
585,2021-01-03,0.07,0.3,0.98
588,2021-01-09,0.06,0.32,0.99
595,2021-01-09,-0.03,0.4,0.05
590,2021-01-09,-0.1,0.53,0.72
591,2021-01-09,0.07,0.37,0.97
592,2021-01-09,0.0,0.0,-0.48
594,2021-01-09,0.09,0.44,0.92
601,2021-01-09,-0.06,0.38,-1.0
593,2021-01-09,0.48,0.65,0.87
598,2021-01-09,0.09,0.43,0.99
597,2021-01-09,0.02,0.39,-0.96
605,2021-01-09,-0.04,0.18,-0.79
596,2021-01-09,0.16,0.36,0.97
584,2021-01-03,0.05,0.5,-0.36
599,2021-01-09,0.02,0.39,0.89
609,2021-01-09,0.19,0.42,0.98
610,2021-01-09,0.13,0.41,0.98
600,2021-01-09,0.11,0.46,-0.98
608,2021-01-09,0.06,0.35,0.96
604,2021-01-09,0.22,0.37,0.91
602,2021-01-09,0.22,0.46,0.84
603,2021-01-09,0.25,0.34,0.2
615,2021-01-09,0.21,0.34,0.99
617,2021-01-09,0.05,0.37,-0.99
607,2021-01-09,0.05,0.42,-0.89
606,2021-01-09,0.19,0.51,0.97
618,2021-01-09,0.14,0.28,1.0
620,2021-01-09,0.1,0.33,1.0
622,2021-01-09,-0.09,0.3,-0.48
611,2021-01-09,0.02,0.36,-0.97
612,2021-01-09,-0.15,0.47,-0.93
613,2021-01-09,0.01,0.37,-0.96
614,2021-01-09,0.06,0.39,-0.98
625,2021-01-09,0.06,0.41,0.95
626,2021-01-09,0.03,0.39,0.99
627,2021-01-09,-0.0,0.3,0.86
628,2021-01-09,-0.0,0.53,-1.0
619,2021-01-09,-0.0,0.28,-0.88
621,2021-01-09,0.08,0.36,0.99
616,2021-01-09,0.03,0.29,-0.99
623,2021-01-09,-0.05,0.38,-1.0
633,2021-01-09,0.01,0.31,0.96
634,2021-01-09,0.1,0.4,0.9
635,2021-01-09,0.18,0.65,0.96
624,2021-01-09,0.13,0.38,0.93
639,2021-01-09,0.08,0.34,0.53
640,2021-01-09,0.02,0.6,-0.97
630,2021-01-09,-0.05,0.44,-0.95
642,2021-01-09,0.04,0.34,-0.93
643,2021-01-09,0.09,0.31,0.95
632,2021-01-09,0.01,0.31,-0.96
629,2021-01-09,0.04,0.31,-0.99
646,2021-01-10,0.1,0.65,-0.38
638,2021-01-09,0.06,0.31,0.75
636,2021-01-09,0.08,0.42,0.97
637,2021-01-09,0.19,0.49,-0.48
631,2021-01-09,0.09,0.4,0.98
649,2021-01-10,0.04,0.27,0.82
651,2021-01-10,0.05,0.41,0.98
641,2021-01-09,0.06,0.4,-0.97
644,2021-01-10,0.05,0.5,-0.66
648,2021-01-10,0.16,0.39,0.23
647,2021-01-10,0.06,0.35,-0.84
657,2021-01-10,0.04,0.46,-0.82
